Model Name,Agent Name,Num Problems,Baseline Score,Agent Score,Difference Score,Baseline Accuracy,Agent Accuracy,Difference Accuracy,Test Statistic,p-value,p-value-text
mistral-large,retry,1000,723,769,46,0.723,0.769,0.04600000000000004,44.02173913043478,3.247e-11,< 0.001
mistral-large,keywords,1000,723,796,73,0.723,0.796,0.07300000000000006,71.01369863013699,3.548e-17,< 0.001
mistral-large,advice,1000,723,802,79,0.723,0.802,0.07900000000000007,77.0126582278481,1.699e-18,< 0.001
mistral-large,instructions,1000,723,803,80,0.723,0.803,0.08000000000000007,78.0125,1.024e-18,< 0.001
mistral-large,explanation,1000,723,825,102,0.723,0.825,0.10199999999999998,100.00980392156863,1.516e-23,< 0.001
mistral-large,solution,1000,723,889,166,0.723,0.889,0.16600000000000004,164.00602409638554,1.508e-37,< 0.001
mistral-large,composite,1000,723,896,173,0.723,0.896,0.17300000000000004,171.0057803468208,4.462e-39,< 0.001
mistral-large,unredacted,1000,723,922,199,0.723,0.922,0.19900000000000007,197.00502512562815,9.406e-45,< 0.001
cohere-command-r-plus,retry,1000,641,745,104,0.641,0.745,0.10399999999999998,102.00961538461539,5.525e-24,< 0.001
cohere-command-r-plus,keywords,1000,641,770,129,0.641,0.77,0.129,127.0077519379845,1.850e-29,< 0.001
cohere-command-r-plus,advice,1000,641,733,92,0.641,0.733,0.09199999999999997,90.01086956521739,2.369e-21,< 0.001
cohere-command-r-plus,instructions,1000,641,798,157,0.641,0.798,0.15700000000000003,155.0063694267516,1.396e-35,< 0.001
cohere-command-r-plus,explanation,1000,641,770,129,0.641,0.77,0.129,127.0077519379845,1.850e-29,< 0.001
cohere-command-r-plus,solution,1000,641,843,202,0.641,0.843,0.20199999999999996,200.0049504950495,2.083e-45,< 0.001
cohere-command-r-plus,composite,1000,641,874,233,0.641,0.874,0.23299999999999998,231.00429184549355,3.600e-52,< 0.001
cohere-command-r-plus,unredacted,1000,641,937,296,0.641,0.937,0.29600000000000004,294.0033783783784,6.672e-66,< 0.001
gemini-1.0-pro,retry,1000,617,724,107,0.617,0.724,0.10699999999999998,105.00934579439253,1.216e-24,< 0.001
gemini-1.0-pro,keywords,1000,617,734,117,0.617,0.734,0.11699999999999999,115.00854700854701,7.836e-27,< 0.001
gemini-1.0-pro,advice,1000,617,724,107,0.617,0.724,0.10699999999999998,105.00934579439253,1.216e-24,< 0.001
gemini-1.0-pro,instructions,1000,617,725,108,0.617,0.725,0.10799999999999998,106.00925925925925,7.339e-25,< 0.001
gemini-1.0-pro,explanation,1000,617,748,131,0.617,0.748,0.131,129.00763358778627,6.756e-30,< 0.001
gemini-1.0-pro,solution,1000,617,763,146,0.617,0.763,0.14600000000000002,144.0068493150685,3.541e-33,< 0.001
gemini-1.0-pro,composite,1000,617,774,157,0.617,0.774,0.15700000000000003,155.0063694267516,1.396e-35,< 0.001
gemini-1.0-pro,unredacted,1000,617,881,264,0.617,0.881,0.264,262.0037878787879,6.277e-59,< 0.001
gemini-1.5-pro-preview-0409,retry,1000,751,813,62,0.751,0.813,0.061999999999999944,60.016129032258064,9.408e-15,< 0.001
gemini-1.5-pro-preview-0409,keywords,1000,751,807,56,0.751,0.807,0.05600000000000005,54.017857142857146,1.987e-13,< 0.001
gemini-1.5-pro-preview-0409,advice,1000,751,824,73,0.751,0.824,0.07299999999999995,71.01369863013699,3.548e-17,< 0.001
gemini-1.5-pro-preview-0409,instructions,1000,751,804,53,0.751,0.804,0.05300000000000005,51.0188679245283,9.148e-13,< 0.001
gemini-1.5-pro-preview-0409,explanation,1000,751,812,61,0.751,0.812,0.061000000000000054,59.01639344262295,1.564e-14,< 0.001
gemini-1.5-pro-preview-0409,solution,1000,751,818,67,0.751,0.818,0.06699999999999995,65.01492537313433,7.433e-16,< 0.001
gemini-1.5-pro-preview-0409,composite,1000,751,815,64,0.751,0.815,0.06399999999999995,62.015625,3.407e-15,< 0.001
gemini-1.5-pro-preview-0409,unredacted,1000,751,972,221,0.751,0.972,0.22099999999999997,219.00452488687782,1.491e-49,< 0.001
claude-3-opus-20240229,retry,1000,792,849,57,0.792,0.849,0.05699999999999994,55.01754385964912,1.195e-13,< 0.001
claude-3-opus-20240229,keywords,1000,792,855,63,0.792,0.855,0.06299999999999994,61.01587301587302,5.662e-15,< 0.001
claude-3-opus-20240229,advice,1000,792,852,60,0.792,0.852,0.05999999999999994,58.016666666666666,2.599e-14,< 0.001
claude-3-opus-20240229,instructions,1000,792,853,61,0.792,0.853,0.06099999999999994,59.01639344262295,1.564e-14,< 0.001
claude-3-opus-20240229,explanation,1000,792,908,116,0.792,0.908,0.11599999999999999,114.00862068965517,1.297e-26,< 0.001
claude-3-opus-20240229,solution,1000,792,939,147,0.792,0.939,0.1469999999999999,145.00680272108843,2.140e-33,< 0.001
claude-3-opus-20240229,composite,1000,792,947,155,0.792,0.947,0.15499999999999992,153.00645161290322,3.818e-35,< 0.001
claude-3-opus-20240229,unredacted,1000,792,971,179,0.792,0.971,0.17899999999999994,177.00558659217876,2.184e-40,< 0.001
